#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-26T17:58:50 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-26T17:58:50	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/633/A51/handbook&-out.all&-out.max=500	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36330051
#Name: J/A+A/633/A51
#Title: Distances to molecular clouds in SFR (Zucker+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/a+a/633/a51	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/633/a51	    IVOID of underlying data collection
#INFO	creator=Zucker C.	    First author or institution
#INFO	cites=bibcode:2020A&A...633A..51Z	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/633/A51	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36330051	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-01-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_A_A_633_A51_handbook:
#Name: J/A+A/633/A51/handbook
#Title: Star Formation Handbook Cloud Distances (table A1)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a17)	Cloud/star-forming region associated with sightline	[ucd=meta.id;meta.main]
#Column	GLON	(F5.1)	Galactic longitude of center of sightline	[ucd=pos.galactic.lon]
#Column	GLAT	(F5.1)	Galactic latitude of center of sightline	[ucd=pos.galactic.lat]
#Column	n16	(F7.4)	16th percentile of the samples for the normalization factor parameter N	[ucd=stat.error]
#Column	n50	(F7.4)	50th percentile of the samples for the normalization factor parameter N	[ucd=stat.fit.param]
#Column	n84	(F7.4)	84th percentile of the samples for the normalization factor parameter N	[ucd=stat.error]
#Column	f16	(F7.4)	16th percentile of the samples for the foreground extinction parameter f	[ucd=stat.error]
#Column	f50	(F7.4)	50th percentile of the samples for the foreground extinction parameter f	[ucd=obs.atmos.extinction]
#Column	f84	(F7.4)	84th percentile of the samples for the foreground extinction parameter f	[ucd=stat.error]
#Column	m16	(F7.4)	16th percentile of the samples for the cloud distance modulus mu_c	[ucd=stat.error]
#Column	m50	(F7.4)	50th percentile of the samples for the cloud distance modulus mu_c	[ucd=phot.mag.distMod]
#Column	m84	(F7.4)	84th percentile of the samples for the cloud distance modulus mu_c	[ucd=stat.error]
#Column	d16	(I4)	16th percentile of the samples for the cloud distance D_c	[ucd=stat.error]
#Column	d50	(I4)	50th percentile of the samples for the cloud distance D_c	[ucd=pos.distance]
#Column	d84	(I4)	84th percentile of the samples for the cloud distance D_c	[ucd=stat.error]
#Column	p16	(F7.4)	16th percentile of the samples for the fraction of outlier stars Pb	[ucd=stat.error]
#Column	p50	(F7.4)	50th percentile of the samples for the fraction of outlier stars Pb	[ucd=stat]
#Column	p84	(F7.4)	84th percentile of the samples for the fraction of outlier stars Pb	[ucd=stat.error]
#Column	sfore16	(F7.4)	16th percentile of the samples for the foreground smoothing parameter sfore	[ucd=stat.error]
#Column	sfore50	(F7.4)	50th percentile of the samples for the foreground smoothing parameter sfore	[ucd=stat.fit.param]
#Column	sfore84	(F7.4)	84th percentile of the samples for the foreground smoothing parameter sfore	[ucd=stat.error]
#Column	sback16	(F7.4)	16th percentile of the samples for the background smoothing parameter sback	[ucd=stat.error]
#Column	sback50	(F7.4)	50th percentile of the samples for the background smoothing parameter sback	[ucd=stat.fit.param]
#Column	sback84	(F7.4)	84th percentile of the samples for the background smoothing parameter sback	[ucd=stat.error]
#Column	new	(I1)	[0/1]? Whether the sightline is novel to this work (1), or taken from Zucker et al. 2019ApJ...879..125Z (0) (1)	[ucd=meta.code]
#Column	SimbadName	(a35)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Name	GLON	GLAT	n16	n50	n84	f16	f50	f84	m16	m50	m84	d16	d50	d84	p16	p50	p84	sfore16	sfore50	sfore84	sback16	sback50	sback84	new	SimbadName	_RA.icrs	_DE.icrs
      56	Cepheus          	108.3	+12.4	 0.7333	 0.7364	 0.7395	 0.1869	 0.1880	 0.1891	 9.8000	 9.8077	 9.8163	 912	 915	 918	 0.0136	 0.0161	 0.0192	 0.0505	 0.0540	 0.0578	 0.0347	 0.0359	 0.0371	0	NAME Cep Cloud                     	327.0441	+69.8763
      57	Cepheus          	105.9	+13.8	 0.7118	 0.7160	 0.7204	 0.1788	 0.1803	 0.1819	 9.8651	 9.8918	 9.9059	 939	 951	 957	 0.0138	 0.0165	 0.0196	 0.0866	 0.0918	 0.0973	 0.0451	 0.0468	 0.0488	0	NAME Cep Cloud                     	319.4410	+69.2538
      58	Cepheus          	116.1	+20.2	 0.5823	 0.5910	 0.5995	 0.1277	 0.1314	 0.1345	 7.6692	 7.7181	 7.7685	 341	 349	 357	 0.0311	 0.0397	 0.0482	 0.0230	 0.0286	 0.0361	 0.0679	 0.0710	 0.0744	0	NAME Cep Cloud                     	329.3457	+80.6687
      59	Chamaeleon       	303.3	-14.2	 0.4534	 0.4604	 0.4674	 0.2483	 0.3669	 0.3752	 6.3526	 6.3940	 6.4421	 186	 190	 194	 0.0263	 0.0334	 0.0429	 0.0308	 0.0375	 0.0458	 0.0672	 0.0707	 0.0744	1	Chamaeleon                         	194.4541	-77.0672
      60	Chamaeleon       	297.5	-15.3	 0.4558	 0.4643	 0.4727	 0.2770	 0.5108	 0.5285	 6.4989	 6.6140	 6.7610	 199	 210	 225	 0.0232	 0.0306	 0.0400	 0.0406	 0.0501	 0.0620	 0.0747	 0.0801	 0.0860	1	Chamaeleon                         	168.6420	-77.1386
      61	Chamaeleon       	303.0	-16.7	 0.6084	 0.6166	 0.6249	 0.2272	 0.3864	 0.3934	 5.9350	 6.0378	 6.1197	 153	 161	 167	 0.0206	 0.0267	 0.0343	 0.0364	 0.0485	 0.0657	 0.0536	 0.0568	 0.0599	1	Chamaeleon                         	193.2197	-79.5716
      62	Circinus         	318.4	-03.2	 0.4466	 0.4527	 0.4593	 0.4244	 0.4304	 0.4367	 9.1638	 9.1728	 9.1773	 680	 683	 684	 0.0245	 0.0298	 0.0355	 0.0241	 0.0251	 0.0261	 0.1114	 0.1163	 0.1214	1	NAME Circinus Cloud                	227.2456	-61.8686
      63	Circinus         	316.9	-03.9	 0.4524	 0.4557	 0.4593	 0.4825	 0.4862	 0.4900	 9.1377	 9.1469	 9.1523	 672	 675	 676	 0.0783	 0.0873	 0.0972	 0.0187	 0.0199	 0.0209	 0.0686	 0.0714	 0.0745	1	NAME Circinus Cloud                	225.1595	-63.2126
      64	Coalsack         	302.9	-02.6	 0.1775	 0.1792	 0.1808	 0.1697	 0.1714	 0.1731	 6.3059	 6.3823	 6.4629	 182	 188	 196	 0.0331	 0.0379	 0.0437	 0.0215	 0.0264	 0.0324	 0.0403	 0.0414	 0.0424	1	Coalsack                           	192.7827	-65.4717
      65	Coalsack         	301.4	-02.6	 0.3341	 0.3365	 0.3388	 0.1306	 0.1634	 0.1981	 6.2293	 6.3115	 6.3675	 176	 182	 187	 0.0148	 0.0179	 0.0216	 0.0173	 0.0210	 0.0256	 0.0768	 0.0784	 0.0800	1	Coalsack                           	189.1772	-65.4279
      66	Coalsack         	301.4	+03.1	 0.1886	 0.1901	 0.1916	 0.1313	 0.1324	 0.1335	 6.4020	 6.4277	 6.4501	 190	 192	 194	 0.0217	 0.0254	 0.0295	 0.0209	 0.0247	 0.0295	 0.0238	 0.0245	 0.0253	1	Coalsack                           	189.8233	-59.7356
      67	Coalsack         	302.8	+01.8	 0.1085	 0.1094	 0.1104	 0.2283	 0.2304	 0.2327	 6.2571	 6.3624	 6.5035	 178	 187	 199	 0.1089	 0.1234	 0.1349	 0.0308	 0.0393	 0.0452	 0.0501	 0.0518	 0.0539	1	Coalsack                           	192.5869	-61.0715
      68	Coalsack         	302.9	+03.1	 0.2055	 0.2074	 0.2092	 0.1588	 0.1604	 0.1619	 6.3531	 6.4075	 6.4574	 186	 191	 195	 0.0188	 0.0224	 0.0268	 0.0268	 0.0315	 0.0368	 0.0347	 0.0357	 0.0366	1	Coalsack                           	192.7962	-59.7717
      69	Coalsack         	300.0	+03.1	 0.1918	 0.1933	 0.1948	 0.1652	 0.1666	 0.1680	 6.3464	 6.4382	 6.4610	 185	 193	 195	 0.0211	 0.0246	 0.0289	 0.0231	 0.0279	 0.0338	 0.0301	 0.0309	 0.0318	1	Coalsack                           	187.0598	-59.6396
      70	Corona_Australis 	000.8	-20.1	 0.6166	 0.6227	 0.6289	 0.2100	 0.2133	 0.2156	 5.8734	 5.9633	 6.0238	 149	 155	 160	 0.0260	 0.0315	 0.0380	 0.0239	 0.0292	 0.0357	 0.0325	 0.0341	 0.0356	1	NAME Corona Australis Cloud        	288.4684	-36.9581
      71	Corona_Australis 	359.5	-17.8	 0.4610	 0.4674	 0.4739	 0.1292	 0.1638	 0.1666	 5.7617	 5.8390	 5.9231	 142	 147	 152	 0.0306	 0.0375	 0.0456	 0.0225	 0.0310	 0.0413	 0.0480	 0.0500	 0.0521	1	NAME Corona Australis Cloud        	285.2282	-37.3192
      72	Corona_Australis 	359.5	-21.0	 0.7430	 0.7487	 0.7546	 0.2037	 0.2058	 0.2075	 6.0401	 6.0884	 6.1344	 161	 165	 168	 0.0160	 0.0195	 0.0236	 0.0313	 0.0378	 0.0455	 0.0270	 0.0280	 0.0291	1	NAME Corona Australis Cloud        	289.0426	-38.4022
      73	CygnusX          	082.9	+00.7	 0.3886	 0.3901	 0.3917	 1.1822	 1.1870	 1.1918	10.5033	10.5233	10.5457	1260	1272	1285	 0.0717	 0.0877	 0.1051	 0.1607	 0.1672	 0.1745	 0.0995	 0.1028	 0.1064	1	NAME Cyg X                         	310.5994	+43.3909
      74	CygnusX          	076.8	+02.2	 0.3680	 0.3706	 0.3733	 0.8640	 0.8703	 0.8767	11.0167	11.0508	11.0703	1597	1622	1637	 0.0497	 0.0600	 0.0715	 0.0943	 0.0980	 0.1020	 0.1345	 0.1379	 0.1415	1	NAME Cyg X                         	304.2095	+39.3319
      75	CygnusX          	077.2	+02.1	 0.3555	 0.3582	 0.3610	 0.9375	 0.9449	 0.9525	10.5689	10.5863	10.6254	1299	1309	1333	 0.1420	 0.1648	 0.1848	 0.0866	 0.0909	 0.0957	 0.1275	 0.1322	 0.1376	1	NAME Cyg X                         	304.6069	+39.6070
      76	CygnusX          	080.3	-02.4	 0.5590	 0.5616	 0.5642	 1.2556	 1.2616	 1.2675	10.7798	10.7938	10.8048	1432	1441	1448	 0.1489	 0.1672	 0.1849	 0.1419	 0.1460	 0.1508	 0.0915	 0.0946	 0.0983	1	NAME Cyg X                         	311.6878	+39.4284
      77	CygnusX          	080.5	+01.1	 0.3379	 0.3400	 0.3420	 1.2120	 1.2198	 1.2273	10.4052	10.4218	10.4598	1205	1214	1235	 0.0614	 0.0764	 0.0930	 0.1373	 0.1420	 0.1473	 0.1361	 0.1401	 0.1446	1	NAME Cyg X                         	308.1961	+41.7218
      78	CygnusX          	079.0	+03.7	 0.4533	 0.4561	 0.4590	 0.9329	 0.9388	 0.9448	10.8589	10.8909	10.9241	1485	1507	1530	 0.0877	 0.1019	 0.1166	 0.0900	 0.0940	 0.0982	 0.1143	 0.1177	 0.1215	1	NAME Cyg X                         	304.1830	+41.9921
      79	CygnusX          	077.7	+01.3	 0.3095	 0.3116	 0.3137	 0.3798	 0.4038	 0.4293	 9.7529	 9.7685	 9.7972	 892	 898	 910	 0.1641	 0.1836	 0.2026	 0.0321	 0.0368	 0.0413	 0.1375	 0.1411	 0.1453	1	NAME Cyg X                         	305.8296	+39.5646
      80	CygnusX          	080.0	-00.7	 0.3643	 0.3717	 0.3791	 0.8254	 0.8686	 0.9100	 9.9462	 9.9818	10.0184	 975	 991	1008	 0.0625	 0.0985	 0.1395	 0.0893	 0.0950	 0.1007	 0.2574	 0.2667	 0.2774	1	NAME Cyg X                         	309.7041	+40.2405
      81	CygnusX          	079.1	+03.0	 0.4336	 0.4363	 0.4388	 0.4817	 0.4992	 0.5171	 9.9824	10.0079	10.0240	 991	1003	1011	 0.0824	 0.0954	 0.1096	 0.0368	 0.0394	 0.0420	 0.1303	 0.1339	 0.1383	1	NAME Cyg X                         	305.0361	+41.6823
      82	CygnusX          	080.3	+02.9	 0.2990	 0.3022	 0.3057	 0.3329	 0.3456	 0.3577	 9.9230	 9.9422	 9.9509	 965	 973	 977	 0.1220	 0.1417	 0.1696	 0.0251	 0.0271	 0.0293	 0.1980	 0.2035	 0.2094	1	NAME Cyg X                         	306.0671	+42.6107
      83	CygnusX          	080.2	+00.1	 0.3829	 0.3870	 0.3910	 1.1816	 1.2995	 1.3178	10.4259	10.4437	10.4786	1216	1226	1246	 0.0730	 0.0923	 0.1316	 0.1299	 0.1352	 0.1401	 0.1813	 0.1885	 0.1972	1	NAME Cyg X                         	309.0245	+40.8835
      84	CygnusX          	082.3	+01.0	 0.2925	 0.2968	 0.3013	 0.2572	 0.2752	 0.2937	 9.3802	 9.4075	 9.4485	 751	 761	 775	 0.3035	 0.3370	 0.3545	 0.0261	 0.0287	 0.0305	 0.2362	 0.2406	 0.2469	1	NAME Cyg X                         	309.7696	+43.1001
      85	CygnusX          	078.7	+00.6	 0.2170	 0.2199	 0.2227	 0.3673	 0.3956	 0.4277	 9.7312	 9.8168	 9.8495	 883	 919	 933	 0.2686	 0.2954	 0.3209	 0.0354	 0.0402	 0.0463	 0.2111	 0.2147	 0.2185	1	NAME Cyg X                         	307.3257	+39.9737
      86	Draco            	089.5	+38.4	 0.7674	 0.8134	 0.8545	 0.0456	 0.0528	 0.0569	 8.1982	 8.4144	 8.6318	 436	 481	 532	 0.0183	 0.0231	 0.0289	 0.0301	 0.0374	 0.0480	 0.0327	 0.0360	 0.0397	0	NAME Draco Cloud                   	252.3343	+59.9178
      87	GGD4             	184.3	-04.2	 0.5178	 0.5204	 0.5230	 0.6844	 0.6993	 0.7155	10.6146	10.6511	10.7053	1327	1349	1383	 0.0419	 0.0491	 0.0573	 0.0332	 0.0358	 0.0384	 0.0741	 0.0765	 0.0792	1	GGD4                               	084.9382	+23.0743
      88	GGD4             	185.1	-04.3	 0.5439	 0.5464	 0.5489	 0.5650	 0.5676	 0.5702	10.6905	10.7250	10.7610	1374	1396	1419	 0.0192	 0.0234	 0.0285	 0.0501	 0.0536	 0.0574	 0.0578	 0.0596	 0.0613	1	GGD4                               	085.3016	+22.3435
      89	Gem_OB1          	189.9	-00.3	 0.5133	 0.5159	 0.5186	 0.7702	 0.7865	 0.8023	11.2559	11.2951	11.3083	1783	1815	1826	 0.0736	 0.0840	 0.0948	 0.0587	 0.0608	 0.0629	 0.0893	 0.0924	 0.0958	1	Gem_OB1                            	091.6092	+20.2313
      90	Gem_OB1          	189.5	+00.7	 0.3922	 0.4004	 0.4084	 0.7583	 0.7740	 0.7900	11.3336	11.3525	11.3669	1848	1864	1876	 0.0323	 0.0390	 0.0519	 0.0583	 0.0609	 0.0632	 0.2219	 0.2305	 0.2400	1	Gem_OB1                            	092.3355	+21.0668
      91	Gem_OB1          	190.9	+00.0	 0.5387	 0.5419	 0.5450	 1.0988	 1.1055	 1.1120	11.3451	11.3540	11.3673	1857	1865	1877	 0.1325	 0.1515	 0.1707	 0.0779	 0.0805	 0.0833	 0.0810	 0.0856	 0.0916	1	Gem_OB1                            	092.4046	+19.5029
      92	Gem_OB1          	188.7	+01.0	 0.4958	 0.4985	 0.5012	 0.8149	 0.8565	 0.8628	11.4628	11.4737	11.4811	1961	1971	1978	 0.0536	 0.0619	 0.0710	 0.0634	 0.0656	 0.0678	 0.0689	 0.0716	 0.0744	1	Gem_OB1                            	092.2013	+21.9119
      93	Gem_OB1          	193.0	+00.6	 0.5067	 0.5093	 0.5120	 0.9357	 0.9405	 0.9456	11.1746	11.1863	11.2176	1717	1726	1751	 0.0261	 0.0326	 0.0400	 0.0713	 0.0737	 0.0760	 0.0899	 0.0930	 0.0961	1	Gem_OB1                            	094.0243	+17.9483
      94	Hercules         	045.1	+08.9	 0.6409	 0.6463	 0.6512	 0.1512	 0.1531	 0.1548	 6.7239	 6.7487	 6.7758	 221	 223	 226	 0.0188	 0.0234	 0.0288	 0.0252	 0.0288	 0.0328	 0.0389	 0.0407	 0.0425	0	NAME Hercules Cloud                	280.3258	+14.8257
      95	Hercules         	044.1	+08.6	 0.6377	 0.6420	 0.6460	 0.1565	 0.1580	 0.1595	 6.7239	 6.7489	 6.7784	 221	 223	 226	 0.0196	 0.0241	 0.0299	 0.0316	 0.0354	 0.0402	 0.0294	 0.0310	 0.0326	0	NAME Hercules Cloud                	280.1587	+13.8055
      96	Hercules         	042.8	+07.9	 0.6327	 0.6393	 0.6454	 0.1076	 0.1093	 0.1108	 6.7911	 6.8155	 6.8479	 228	 230	 234	 0.0231	 0.0283	 0.0348	 0.0396	 0.0457	 0.0524	 0.0326	 0.0345	 0.0364	0	NAME Hercules Cloud                	280.2240	+12.3423
      97	IC1396           	098.9	+04.0	 0.4593	 0.4618	 0.4646	 0.5563	 0.5595	 0.5629	 9.7785	 9.8095	 9.8595	 903	 916	 937	 0.0575	 0.0666	 0.0763	 0.0810	 0.0896	 0.0992	 0.0732	 0.0755	 0.0781	1	IC1396                             	323.8764	+57.4232
      98	IC1396           	100.1	+04.2	 0.4886	 0.4910	 0.4936	 0.7387	 0.7424	 0.7464	 9.7423	 9.7834	 9.8340	 888	 905	 926	 0.0213	 0.0262	 0.0326	 0.1042	 0.1138	 0.1252	 0.0941	 0.0962	 0.0984	1	IC1396                             	325.3062	+58.3695
      99	IC1396           	100.4	+03.4	 0.3761	 0.3786	 0.3810	 0.7532	 0.7583	 0.7634	 9.8002	 9.8695	 9.9358	 912	 941	 970	 0.0349	 0.0430	 0.0524	 0.0969	 0.1059	 0.1167	 0.1154	 0.1183	 0.1213	1	IC1396                             	326.7239	+57.9567
     100	IC1396           	099.1	+04.7	 0.5410	 0.5439	 0.5469	 0.7214	 0.7254	 0.7294	 9.7337	 9.7950	 9.8366	 884	 909	 927	 0.0255	 0.0318	 0.0385	 0.1019	 0.1113	 0.1221	 0.0881	 0.0904	 0.0928	1	IC1396                             	323.2641	+58.0736
     101	IC2118           	206.4	-26.0	 0.4784	 0.4887	 0.4994	 0.2047	 0.2098	 0.2146	 7.4472	 7.5834	 7.6786	 308	 328	 343	 0.0205	 0.0263	 0.0333	 0.0258	 0.0321	 0.0400	 0.0614	 0.0647	 0.0681	1	IC2118                             	076.7952	-06.2516
     102	IC2118           	207.3	-27.2	 0.7833	 0.7999	 0.8164	 0.1377	 0.1446	 0.1480	 7.0963	 7.1877	 7.2501	 262	 273	 281	 0.0153	 0.0190	 0.0229	 0.0221	 0.0272	 0.0341	 0.0325	 0.0342	 0.0360	1	IC2118                             	076.0850	-07.5127
     103	IC2118           	206.9	-26.6	 0.7911	 0.8068	 0.8218	 0.1622	 0.2476	 0.2542	 7.0210	 7.2663	 7.3820	 253	 283	 299	 0.0237	 0.0299	 0.0372	 0.0275	 0.0358	 0.0470	 0.0452	 0.0481	 0.0510	1	IC2118                             	076.4626	-06.9237
     104	IC2944           	294.1	-01.6	 0.2754	 0.2776	 0.2798	 0.7150	 0.7283	 0.7415	11.8521	11.8678	11.9036	2346	2363	2402	 0.1163	 0.1360	 0.1555	 0.0321	 0.0355	 0.0380	 0.1510	 0.1552	 0.1603	1	IC2944                             	173.0275	-63.1034
     105	IC2944           	294.9	-01.5	 0.2853	 0.2878	 0.2903	 0.9426	 0.9512	 0.9599	11.9284	11.9480	11.9605	2430	2452	2466	 0.1543	 0.1777	 0.1996	 0.0423	 0.0453	 0.0483	 0.1461	 0.1514	 0.1573	1	IC2944                             	174.7878	-63.2389
     106	IC2944           	294.6	-02.0	 0.3513	 0.3540	 0.3566	 0.8583	 0.8652	 0.8717	11.8098	11.8483	11.8666	2301	2342	2362	 0.0540	 0.0650	 0.0777	 0.0450	 0.0481	 0.0513	 0.1448	 0.1485	 0.1526	1	IC2944                             	173.8280	-63.6335
     107	IC443            	189.2	+03.2	 0.5161	 0.5197	 0.5234	 0.5714	 0.6072	 0.6128	11.0352	11.0600	11.0950	1610	1629	1655	 0.0365	 0.0430	 0.0504	 0.0421	 0.0445	 0.0472	 0.0838	 0.0863	 0.0890	1	IC443                              	094.5467	+22.5245
     108	IC443            	189.2	+04.7	 0.5366	 0.5399	 0.5431	 0.6394	 0.6434	 0.6473	10.9910	11.0123	11.0467	1578	1593	1619	 0.0264	 0.0321	 0.0387	 0.0694	 0.0728	 0.0764	 0.0768	 0.0792	 0.0815	1	IC443                              	095.9864	+23.2249
     109	IC443            	189.6	+04.0	 0.5416	 0.5453	 0.5491	 0.5013	 0.5048	 0.5084	10.9525	10.9635	10.9720	1550	1558	1564	 0.0296	 0.0352	 0.0414	 0.0493	 0.0521	 0.0551	 0.0711	 0.0732	 0.0755	1	IC443                              	095.5144	+22.5466
     110	IC443            	189.1	+04.1	 0.5579	 0.5613	 0.5648	 0.6309	 0.6348	 0.6388	10.9639	11.0044	11.0725	1558	1588	1638	 0.0339	 0.0395	 0.0462	 0.0436	 0.0462	 0.0490	 0.0709	 0.0732	 0.0755	1	IC443                              	095.3582	+23.0345
     111	IC5146           	093.7	-04.6	 0.4340	 0.4371	 0.4403	 0.4130	 0.4332	 0.4368	 9.4004	 9.4440	 9.4806	 758	 774	 787	 0.0501	 0.0576	 0.0667	 0.0345	 0.0388	 0.0436	 0.0886	 0.0910	 0.0935	1	IC5146                             	326.7336	+47.5254
     112	IC5146           	093.4	-04.2	 0.4581	 0.4622	 0.4661	 0.3508	 0.4234	 0.4302	 9.4524	 9.4948	 9.5310	 777	 792	 805	 0.0533	 0.0622	 0.0723	 0.0243	 0.0282	 0.0322	 0.0839	 0.0868	 0.0898	1	IC5146                             	326.0117	+47.6367
     113	IC5146           	094.0	-04.9	 0.4757	 0.4796	 0.4834	 0.3829	 0.3862	 0.3894	 9.2415	 9.3169	 9.3752	 705	 730	 749	 0.0237	 0.0288	 0.0347	 0.0338	 0.0396	 0.0461	 0.0726	 0.0747	 0.0768	1	IC5146                             	327.3579	+47.4865
     114	IC5146           	094.4	-05.5	 0.5533	 0.5574	 0.5616	 0.5281	 0.5324	 0.5366	 9.3574	 9.3802	 9.4087	 743	 751	 761	 0.0326	 0.0396	 0.0474	 0.0293	 0.0333	 0.0377	 0.0925	 0.0951	 0.0978	1	IC5146                             	328.3738	+47.2731
     115	L1228            	111.8	+20.2	 0.4839	 0.4939	 0.5036	 0.1808	 0.2429	 0.3124	 7.7886	 7.8220	 7.8554	 361	 366	 372	 0.0302	 0.0392	 0.0517	 0.0322	 0.0399	 0.0494	 0.1014	 0.1082	 0.1156	1	L1228                              	314.7120	+77.6832
     116	L1228D           	112.3	+13.8	 0.6157	 0.6203	 0.6250	 0.1483	 0.3163	 0.3195	 7.6011	 8.4584	 8.5423	 331	 491	 511	 0.0161	 0.0196	 0.0238	 0.0292	 0.0502	 0.0630	 0.0567	 0.0587	 0.0606	1	L1228D                             	334.0696	+73.3810
     117	L1251            	114.6	+14.5	 0.4421	 0.4509	 0.4626	 0.3137	 0.3778	 0.3888	 7.6921	 7.7289	 7.7924	 345	 351	 361	 0.0522	 0.0662	 0.0874	 0.0319	 0.0394	 0.0487	 0.0900	 0.0957	 0.1008	1	L1251                              	339.6076	+75.1756
     118	L1265            	115.9	-02.0	 0.4636	 0.4666	 0.4696	 0.2876	 0.4010	 0.5757	 7.4802	 7.6890	 7.8905	 313	 344	 378	 0.0246	 0.0312	 0.0388	 0.0299	 0.0396	 0.0526	 0.1102	 0.1131	 0.1158	1	L1265                              	358.6546	+60.0937
     119	L1293            	121.7	+00.1	 0.4199	 0.4227	 0.4254	 0.5925	 0.5965	 0.6005	10.1501	10.1738	10.1977	1071	1083	1095	 0.0253	 0.0309	 0.0376	 0.0622	 0.0670	 0.0721	 0.1000	 0.1024	 0.1049	1	L1293                              	010.1502	+62.9458
     120	L1302            	122.0	-01.4	 0.4561	 0.4583	 0.4606	 0.7941	 0.7981	 0.8023	 9.7699	 9.7874	 9.8170	 899	 906	 919	 0.0217	 0.0270	 0.0328	 0.0329	 0.0366	 0.0407	 0.1023	 0.1049	 0.1073	1	L1302                              	010.9094	+61.4576
     121	L1306            	125.6	-00.6	 0.4437	 0.4460	 0.4482	 0.7342	 0.7380	 0.7419	 9.7477	 9.7789	 9.8143	 890	 903	 918	 0.0173	 0.0213	 0.0263	 0.0571	 0.0627	 0.0690	 0.0958	 0.0982	 0.1004	1	L1306                              	018.5785	+62.1532
     122	L1306            	126.8	-00.8	 0.4402	 0.4429	 0.4456	 0.6554	 0.6595	 0.6636	 9.8225	 9.8699	 9.9077	 921	 941	 958	 0.0295	 0.0354	 0.0422	 0.0431	 0.0467	 0.0504	 0.1044	 0.1069	 0.1095	1	L1306                              	021.0727	+61.8248
     123	L1307            	124.3	+03.3	 0.5472	 0.5489	 0.5506	 0.9088	 0.9118	 0.9147	 9.5950	 9.6081	 9.6234	 829	 834	 840	 0.0188	 0.0231	 0.0285	 0.1200	 0.1285	 0.1372	 0.0703	 0.0720	 0.0739	1	L1307                              	016.2371	+66.1359
     124	L1307            	124.6	+02.6	 0.4713	 0.4732	 0.4752	 1.0201	 1.0244	 1.0287	 9.7524	 9.7768	 9.8246	 892	 902	 922	 0.0398	 0.0488	 0.0584	 0.1052	 0.1127	 0.1211	 0.0870	 0.0897	 0.0924	1	L1307                              	016.8682	+65.4198
     125	L1333            	128.9	+13.7	 0.4694	 0.4755	 0.4818	 0.3167	 0.3215	 0.3261	 7.2406	 7.2590	 7.2879	 280	 283	 286	 0.0300	 0.0373	 0.0459	 0.0365	 0.0414	 0.0473	 0.0466	 0.0492	 0.0519	1	L1333                              	036.5865	+75.4605
     126	L1335            	128.9	+04.3	 0.6640	 0.6671	 0.6702	 1.1623	 1.1680	 1.1735	 8.9944	 9.0564	 9.1403	 629	 647	 673	 0.0222	 0.0293	 0.0368	 0.1817	 0.1981	 0.2169	 0.0847	 0.0878	 0.0909	1	L1335                              	027.9130	+66.4715
     127	L1340            	130.0	+11.5	 0.4333	 0.4368	 0.4403	 0.5340	 0.5385	 0.5429	 9.6381	 9.6688	 9.6937	 846	 858	 868	 0.0274	 0.0335	 0.0406	 0.0310	 0.0341	 0.0372	 0.0831	 0.0861	 0.0892	1	L1340                              	037.2445	+73.0191
     128	L1355            	132.8	+08.9	 0.5608	 0.5658	 0.5705	 0.8665	 0.8745	 0.8818	 9.8477	 9.8858	 9.9619	 932	 948	 982	 0.0370	 0.0465	 0.0578	 0.0613	 0.0660	 0.0708	 0.0984	 0.1024	 0.1068	1	L1355                              	041.8053	+69.5224
